이름,슬롯,타입,옵션
Accursed Visage,Head,Set Helmet,Part of the Unhallowed Essence set
Aether Walker,Weapon (1H),Wand,"Teleport no longer has a cooldown but costs 25 Arcane Power. ; This item was an exclusive Season 1 drop, but now can be found anywhere as of Patch 2.1.2 and the end of Season 1. ; Seasons do not exist in the Console (PS3, PS4, Xbox 360, Xbox One) versions of the game. But these items can still be found. ; This wand reduces the cooldown of Teleport to half of a second. Blizzard Community Manager Tyvalir explained the reason for this as follows: ; Level 70 stat ranges shown below."
Ageless Might,Waist,Mighty Belt,"Reduces damage from melee attacks by 3.0–7.0% ; Mighty Belts don't normally roll with Melee Damage reduction. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; 286–318 Base Armor"
"Ahavarion, Spear Of Lycander",Weapon (2H),Staff,Chance on killing a demon to gain a random Shrine effect. ; Has a 0.5% chance to buff you and your teammates (same range as shrines) with a Shrine Effect. Does not grant Nephalem Rift Shrine effects. However it can provide any of the following Shrine effects. ; Enlightened: You gain 25% increased experience from monster kills. ; Frenzied: Your attack speed increases by 25%. ; Blessed: You reduce all incoming damage by 25%. ; Fortune: You gain 25% increased magic and gold find rate.
"Akanesh, the Herald of Righteousness",Weapon (1H),Spear,Holy skills deal 15–25% more damage.
Akarat's Awakening,Off-hand,Crusader Shield,"Every successful block has a 20–25% chance to reduce all cooldowns by 1 second. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; 288–359 Base Armor"
Ancestors' Grace,Neck,Amulet,"When receiving fatal damage, you are instead restored to 100% of maximum Life and resources. This item is destroyed in the process. ; This amulet only drops in Hardcore mode. ; Amulets don't normally have movement speed on them. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level."
Ancient Parthan Defenders,Wrists,Bracers,Each stunned enemy within 25 yards reduces your damage taken by 9-12%. ; For every enemy near you that is stunned you will take 9-12% less damage. ; The damage reduction is multiplicative not additive; stunning 10 or more mobs will not result in 100% damage reduction but will instead result in approximately 65% damage reduction. ; The stunned enemies must be within approximately 10 - 20 yards. ; The reduced damage taken effect lasts as long as there are stunned units nearby. ; This effect works for anyone wearing the bracers regardless of who stuns the units.
Andariel's Visage,Head,Helmet,"Chance on hit to release a Poison Nova that deals 350-45.% weapon damage as Poison to enemies within 10 yards. Increases one of 7 Elemental Skill Damage types by 15-20%. ; Basic Information ; Advanced Information ; Pictures and Video ; The area of effect is very small and limited to monsters directly around you. ; The ""chance"" is 100% but is affected by ability proc coefficient."
Anessazi Edge,Weapon (1H),Ceremonial Knife,"Zombie Dogs stun enemies around them for 1.5 seconds when summoned. ; The Witch Doctor ability Summon Zombie Dogs will stun all enemies immediately around them when cast. The base cooldown of Summon Zombe Dogs is 45 seconds. ; Level 50 Stats ; Level 70 Stats ; The stats listed are for the level 50 version, however the item can drop at any level above 50. The legendary effect does not change with level. ; Damage"
Angel Hair Braid,Waist,Belt,"Punish gains the effect of every rune. ; This belt gives Punish the effects of all its runes. ; Punish Runes: ; Roar – When you block w/ Hardened Senses active, you explode with fury dealing 75% weapon damage as Fire to enemies within 15 yards. ; Celerity – When you block with Hardened Senses active, you gain 15% increased Attack Speed for 3 seconds. ; Rebirth – When you block with Hardened Senses active, you gain 12874 increased Life regeneration for 2 seconds."
Arachyr's Carapace,Chest,Set Chest Armor,Part of the Uliana
Arachyr's Claws,Hands,Set Gloves,Part of the Uliana
Arachyr's Legs,Legs,Set Pants,Part of the Uliana
Arachyr's Mantle,Shoulders,Set Shoulders,Part of the Uliana
Arachyr's Stride,Feet,Set Boots,Part of the Uliana
Arachyr's Visage,Head,Set Helmet,Part of the Uliana
Arcane Barb,Weapon (2H),Crossbow,Crafted Crossbow that has 5 random Magic Properties.
Arcane Dust,Material,Crafting Material,Obtained by using the Blacksmith to salvage magic weapons and armor. ; Obtained by salvaging level 61-70 magic items. ; Maximum Stack Amount: 1000 Drop Chance In Patch 2.0.4 (4-08-2014) Blizzard stated the drop rates for Legendary crafting materials have been changed to match the drop rates for Death's Breath. Those rates are: ; Normal - 15% ; Hard - 18% ; Expert - 21%
Archfiend Arrows,Off-hand,Quiver,Crafted Quiver that has 4 random Magic Properties.
Archmage's Vicalyke,Head,Wizard Hat,"Your Mirror Images have a chance to multiply when killed by enemies. ; The images created by the Wizard ability Mirror Image have a chance to multiply when they are killed by enemies. ; Level 31 Stats ; Level 70 Stats ; The stats listed are for the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; 114–149 Base Armor"
Arcstone,Ring,Ring,"Lightning Pulses periodically between all wearers of this item, dealing 1,000-1,500% weapon damage."
Armor of the Kind Regent,Chest,Chest Armor,Smite will now also be cast at a second nearby enemy. ; The crusader skill Smite will be cast on a second nearby enemy every time it is used. ; Level 70 stat ranges shown below. ; 660–759 Base Armor ; One of 3 Magic Properties (varies) ; +416–500 Strength
Arreat War Tapestry,Material,Crafting Material,Read everything you need to know about The Arreat War Tapestry Obtained from Act 3 Horadric Caches and used in Kanai Cube Recipes. ; Obtained from Act 3 Horadric Caches. Used in Kanai Cube Recipes. ; Maximum Stack Amount: 5000
Arreat's Law,Weapon (1H),Spear,"Weapon Throw generates up to 15–20 additional Fury based on how far away the enemy hit is. Maximum benefit when the enemy hit is 20 or more yards away. ; No extra details at this moment. ; Level 29 Stats ; Level 70 Stats ; Guaranteed Stats ; The minimum level this item can drop at is 29. Below you will find the range of stats found on the level 29 version, however the item can drop at any level above 29. The legendary effect does not change with level."
Arthef's Spark of Life,Weapon (2H),Two-Handed Mace,"Heal for 3–4% of your missing Life when you kill an Undead enemy. ; When you kill an Undead enemy (Skeleton, Corpse, etc) you will heal for 3-4% of your missing Life. ; Level 9 Stats ; Level 70 Stats ; The minimum level this item can drop at is 9. Below you will find the range of stats found on the level 9 version, however the item can drop at any level above 9. The legendary effect does not change with level. ; Damage"
Asheara's Custodian,Shoulders,Set Shoulders,"Crafted Set Shoulders that have 6 random Magic Properties Part of the Asheara ; Has a one minute cooldown on summoning your Followers. ; Followers fight with you for 30 seconds. ; Followers are equipped with all the items you gave them and the skills you choose for them. ; Note: Some of the required ingredients can only be found in Reaper of Souls. ; 172,800 Gold"
Asheara's Finders,Feet,Set Boots,"Crafted Set Boots that have 6 random Magic Properties Part of the Asheara ; Has a one minute cooldown on summoning your Followers. ; Followers fight with you for 30 seconds. ; Followers are equipped with all the items you gave them and the skills you choose for them. ; Note: Some of the required ingredients can only be found in Reaper of Souls. ; 172,800 Gold"
Asheara's Gait,Legs,Set Pants,Crafted Set pants that have 3 random Magic Properties Part of the Asheara ; The two piece set bonus will increase your All Resist by 30. ; The three piece set bonus will give you 2.5% Life Steal and 300 Holy Thorns damage per hit. ; Asheara's Uniform Asheara's Gait ; Asheara's Iron Fist ; Asheara's Tracks
Asheara's Guard,Shoulders,Set Shoulders,+15–25% Extra Gold from Monsters Crafted Set shoulders that have 3 random Magic Properties Part of the Asheara ; Shoulders don't normally roll with Gold Find on them. ; The two piece set bonus will increase your All Resist by 30. ; The three piece set bonus will give you 2.5% Life Steal and 300 Holy Thorns damage per hit. ; Asheara's Uniform Asheara's Gait ; Asheara's Iron Fist
Asheara's Iron Fist,Hands,Set Gloves,13–20% Better Chance of Finding Magical Items Crafted Set gloves that have 3 random Magic Properties Part of the Asheara ; Magic Find has been almost entirely removed from the game. This is one of the few pieces that still has it. ; The two piece set bonus will increase your All Resist by 30. ; The three piece set bonus will give you 2.5% Life Steal and 300 Holy Thorns damage per hit. ; Asheara's Uniform Asheara's Gait ; Asheara's Iron Fist
Asheara's Pace,Legs,Set Pants,"Crafted Set Pants that have 6 random Magic Properties Part of the Asheara ; Has a one minute cooldown on summoning your Followers. ; Followers fight with you for 30 seconds. ; Followers are equipped with all the items you gave them and the skills you choose for them. ; Note: Some of the required ingredients can only be found in Reaper of Souls. ; 36,720 Gold"
Asheara's Tracks,Feet,Set Boots,Attack Speed Increased by 4.0–5.0% Crafted Set boots that have 3 random Magic Properties Part of the Asheara ; Boots don't normally roll with Attack Speed. ; The two piece set bonus will increase your All Resist by 30. ; The three piece set bonus will give you 2.5% Life Steal and 300 Holy Thorns damage per hit. ; Asheara's Uniform Asheara's Gait ; Asheara's Guard
Asheara's Ward,Hands,Set Gloves,"Crafted Set Gloves that have 6 random Magic Properties Part of the Asheara ; Has a one minute cooldown on summoning your Followers. ; Followers fight with you for 30 seconds. ; Followers are equipped with all the items you gave them and the skills you choose for them. ; Note: Some of the required ingredients can only be found in Reaper of Souls. ; 36,720 Gold"
Atrophy,Weapon (1H),Wand,Crafted Wand that has 5 random Magic Properties.
Aughild's Dominion,Chest,Set Chest Armor,Crafted Set Chest Armor that has 4 random Magic Properties Part of the Aughild ; The two piece set bonus will decrease the damage you receive from melee attacks by 2%. ; The three piece bonus will decrease the damage you receive from ranged attacks by 2%. ; Aughild's Victory Aughild's Dominion ; Aughild's Peak ; Aughild's Reign
Aughild's Peak,Head,Set Helmet,11–12% Better Chance of Finding Magical Items Crafted Set Helmet that has 3 random Magic Properties Part of the Aughild ; Magic Find has been almost entirely removed from the game. This is one of the few pieces that still has it. ; The two piece set bonus will decrease the damage you receive from melee attacks by 2%. ; The three piece bonus will decrease the damage you receive from ranged attacks by 2%. ; Aughild's Victory Aughild's Dominion ; Aughild's Peak
Aughild's Power,Shoulders,Set Shoulders,Crafted Set Shoulders that have 6 random Magic Properties Part of the Aughild ; The two piece set bonus will decrease the damage you receive from melee and ranged attacks by 7%. ; The three piece bonus will decrease the damage you receive from elites by 15% while increasing your damage to them by 15%. ; Aughild's Authority Aughild's Power ; Aughild's Search ; Aughild's Spike
Aughild's Reign,Shoulders,Set Shoulders,Crafted Set Shoulders that have 3 random Magic Properties Part of the Aughild ; The two piece set bonus will decrease the damage you receive from melee attacks by 2%. ; The three piece bonus will decrease the damage you receive from ranged attacks by 2%. ; Aughild's Victory Aughild's Dominion ; Aughild's Peak ; Aughild's Reign
Aughild's Rule,Chest,Set Chest Armor,Crafted Set Chest Armor that has 6 random Magic Properties Part of the Aughild ; The two piece set bonus will decrease the damage you receive from melee and ranged attacks by 7%. ; The three piece bonus will decrease the damage you receive from elites by 15% while increasing your damage to them by 15%. ; Aughild's Authority Aughild's Power ; Aughild's Search ; Aughild's Spike
Aughild's Search,Wrists,Set Bracers,Crafted Set Bracers that have 6 random Magic Properties Part of the Aughild ; The two piece set bonus will decrease the damage you receive from melee and ranged attacks by 7%. ; The three piece bonus will decrease the damage you receive from elites by 15% while increasing your damage to them by 15%. ; Aughild's Authority Aughild's Power ; Aughild's Search ; Aughild's Spike
Aughild's Spike,Head,Set Helmet,Crafted Set Helmet that has 5 random Magic Properties Part of the Aughild ; The two piece set bonus will decrease the damage you receive from melee and ranged attacks by 7%. ; The three piece bonus will decrease the damage you receive from elites by 15% while increasing your damage to them by 15%. ; Aughild's Authority Aughild's Power ; Aughild's Search ; Aughild's Spike
Aughild's Ultimatum,Wrists,Set Bracers,Crafted Set Bracers that have 3 random Magic Properties Part of the Aughild ; The two piece set bonus will decrease the damage you receive from melee attacks by 2%. ; The three piece bonus will decrease the damage you receive from ranged attacks by 2%. ; Aughild's Victory Aughild's Dominion ; Aughild's Peak ; Aughild's Reign
