카테고리,항목,내용
몬스터 타입,Normal,자연 생물 및 피조물 / vs_Normal 피해 옵션 대상
몬스터 타입,Demon,지옥/마법 계열 존재 (고블린 오크 포함) / vs_Demon 피해 옵션 대상
몬스터 타입,Undead,죽어서 되살아난 존재 / vs_Undead 피해 옵션 대상
몬스터 타입,공통 규칙,스테이지 단일 타입: 1스테이지 = 1타입만 등장 → vs_type 옵션이 실질적 의미를 가짐
몬스터 등급,일반 (normal),드롭 판정 1회 / 장비 드롭 X / 골드+강화재료+카드(극악확률)
몬스터 등급,정예 (elite),드롭 판정 3회 / 장비 드롭 O (매직/레어) / 고유 스킬 보유 (미기획)
몬스터 등급,보스,던전 마지막 / 레어-유니크 드롭 / 스테이지 해금
몬스터 등급,챕터 보스,챕터 관문 / 챕터 전용 유니크 드롭 / 다음 챕터 해금
몬스터 베이스 (Normal),Wolf,소~중형 / 고속 딜러
몬스터 베이스 (Normal),Yeti,중~대형 / 강타·돌격형
몬스터 베이스 (Normal),Troll,대형 / 방어 극대화
몬스터 베이스 (Normal),Lizardman,소~중형 / 균형형 (전사+주술사)
몬스터 베이스 (Normal),Golem,중~대형 / 무기물 극단적 방어
몬스터 베이스 (Demon),Imp,소형 / 빠른 마법형
몬스터 베이스 (Demon),Goblin,소형 / 잔꾀·집단형
몬스터 베이스 (Demon),Succubus,중형 / 디버프·마법형
몬스터 베이스 (Demon),Gargoyle,중~대형 / 방어형
몬스터 베이스 (Demon),Orc,중~대형 / 야만 강타형
몬스터 베이스 (Undead),Skeleton,소~중형 / 밸런스형
몬스터 베이스 (Undead),Zombie,중~대형 / 느린 고체력
몬스터 베이스 (Undead),Ghost,소~중형 / 물리방어↓ 마법저항↑
몬스터 베이스 (Undead),Vampire,중~대형 / 흡혈 공격형
몬스터 베이스 (Undead),Lich,중~대형 / 마법 극대화
몬스터 풀 방식,기본 규칙,각 챕터별 몬스터 풀 배정 (6종)
몬스터 풀 방식,랜덤 조합,런마다 풀에서 랜덤 조합으로 소환 → 반복 파밍 신선도 유지
몬스터 풀 방식,베이스 공유,챕터 간 같은 베이스 재등장 가능 (이름·스탯 변형)
몬스터 데이터,monster_type,헌터 아이템 vs_[type]_damage 옵션 대상 분류
몬스터 데이터,monster_base,monster_drop_equipment.csv 부위별 드롭 가중치 참조
몬스터 데이터,monster_grade,monster_drop_config.csv 드롭 종류별 확률 참조
몬스터 총계,베이스,15종 (타입별 5종)
몬스터 총계,마리수,베이스당 3마리 (약/중/강) = 총 45마리 (monster_info.csv)
